"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"126","rudderless",244403,3,"william h macy",105,5e+06,56001,"2014-10-17","Q4",1,0,1,0,1,-0.9887998,0
"127","creature",292830,3,"vikram bhatt",134,3e+06,331000,"2014-09-12","Q3",0,1,0,0,1,-0.889666666666667,0
"128","dancer in the dark",16,3,"lars von trier",140,12500000,4157491,"2000-05-17","Q3",1,0,1,0,0,-0.66740072,0
"129","everybody wants some ",295699,3,"richard linklater",116,1e+07,3400278,"2016-03-30","Q1",0,0,0,0,1,-0.6599722,0
"130","the age of adaline",293863,2,"lee toland krieger",112,3e+07,42629776,"2015-04-16","Q2",1,0,0,0,1,0.420992533333333,0
"131","open water",83,3,"chris kentis",79,5e+05,30500882,"2004-08-06","Q3",1,1,0,0,0,60.001764,1
"132","a mighty wind",13370,3,"christopher guest",91,6e+06,17583468,"2003-04-16","Q2",0,0,1,0,1,1.930578,1
"133","the final destination",19912,3,"david r ellis",82,4e+07,66477700,"2009-08-26","Q3",1,1,0,0,0,0.6619425,0
"134","u2 3d",37003,3,"mark pellington",85,1.5e+07,12898847,"2007-05-19","Q1",0,0,1,0,0,-0.140076866666667,0
"135","aloha",222936,3,"cameron crowe",105,3.7e+07,21052030,"2015-05-27","Q2",1,0,0,0,1,-0.431026216216216,0
"136","inglourious basterds",16869,1,"quentin tarantino",153,7e+07,120774594,"2009-08-18","Q3",1,1,1,1,0,0.725351342857143,0
"137","the mexican",6073,1,"gore verbinski",123,4e+07,66808615,"2001-03-01","Q1",1,0,0,1,1,0.670215375,0
"138","no man s land",8342,3,"danis tanovic",98,1e+06,1067481,"2001-09-08","Q4",1,0,1,1,0,0.067481,0
"139","road trip",9285,3,"todd phillips",93,1.6e+07,68525609,"2000-05-19","Q2",0,0,0,1,1,3.2828505625,1
"140","dreamcatcher",318033,3,"kim longinotto",104,6.8e+07,33685268,"2015-03-27","Q1",0,0,1,0,0,-0.504628411764706,0
"141","into the storm",36465,2,"thaddeus o sullivan",100,5e+07,47602194,"2009-05-31","Q3",1,0,1,0,0,-0.04795612,0
"142","the masked saint",370464,3,"warren p sonoda",111,3500000,182695,"2016-01-08","Q1",1,0,0,1,0,-0.947801428571429,0
"143","3 strikes",47816,3,"dj pooh",82,4e+06,9821335,"2000-03-01","Q1",1,0,0,1,1,1.45533375,1
"144","my name is bruce",1961,2,"bruce campbell",86,1500000,173066,"2007-10-01","Q4",0,1,0,0,1,-0.884622666666667,0
"145","nebraska",129670,3,"alexander payne",115,1.2e+07,17654912,"2013-09-21","Q4",1,0,0,1,1,0.471242666666667,0
"146","the whole nine yards",2069,2,"jonathan lynn",98,2.4e+07,57262492,"2000-02-18","Q1",1,0,0,0,1,1.38593716666667,1
"147","trumbo",294016,3,"jay roach",124,1.5e+07,7857741,"2015-10-27","Q4",1,0,0,0,0,-0.4761506,0
"148","in the shadow of the moon",14284,3,"david sington",109,2e+06,1134358,"2007-01-19","Q3",0,0,1,0,0,-0.432821,0
"149","the other woman",193610,1,"nick cassavetes",109,4e+07,83911193,"2014-04-16","Q2",1,0,0,0,1,1.097779825,1
"150","charlie s angels",4327,1,"mcg",98,9e+07,125305545,"2000-11-02","Q4",1,1,0,1,1,0.392283833333333,0
"151","no end in sight",12901,3,"charles ferguson",102,2e+06,1433319,"2007-07-27","Q3",0,0,1,0,0,-0.2833405,0
"152","george washington",18292,3,"david gordon green",89,42000,241816,"2000-10-01","Q4",1,0,0,0,0,4.75752380952381,1
"153","an education",24684,3,"lone scherfig",100,7500000,12574914,"2009-10-29","Q4",1,0,0,0,0,0.6766552,0
"154","the mighty macs",48620,1,"tim chambers",102,7e+06,1891936,"2009-10-21","Q4",1,0,0,1,0,-0.729723428571429,0
"155","vampires",65997,3,"vincent lannoo",88,2e+07,20268825,"2010-04-17","Q4",0,0,0,0,1,0.01344125,0
"156","eye of the dolphin",46849,3,"michael d sellers",100,2500000,72210,"2007-08-24","Q3",1,0,0,0,0,-0.971116,0
"157","51 birch street",79161,3,"doug block",90,350000,84689,"2006-10-18","Q4",0,0,1,0,0,-0.758031428571429,0
"158","10 days in a madhouse",345003,3,"timothy hines",111,1.2e+07,14616,"2015-11-20","Q4",1,0,0,0,0,-0.998782,0
"159","saw",176,3,"james wan",103,1200000,55968727,"2004-10-01","Q4",1,1,0,0,0,45.6406058333333,1
"160","lonesome jim",7301,3,"steve buscemi",91,5e+05,154187,"2005-11-16","Q1",1,0,0,0,1,-0.691626,0
"161","manchester by the sea",334541,3,"kenneth lonergan",135,8500000,47695371,"2016-11-18","Q4",1,0,0,0,0,4.61122011764706,1
"162","the killer inside me",37414,3,"michael winterbottom",109,1.3e+07,217277,"2010-02-19","Q2",1,1,0,0,0,-0.983286384615385,0
"163","triple 9",146198,3,"john hillcoat",115,2e+07,12639297,"2016-02-19","Q1",0,1,0,1,0,-0.36803515,0
"164","the gallows",299245,3,"travis cluff",87,1e+05,22764410,"2015-07-10","Q3",0,1,0,0,0,226.6441,1
"165","blue jasmine",160588,1,"woody allen",98,1.8e+07,33404871,"2013-07-25","Q3",1,0,0,0,1,0.855826166666667,0
"166","veronica guerin",10629,1,"joel schumacher",98,1.7e+07,1569918,"2003-07-11","Q4",1,1,0,0,0,-0.907651882352941,0
"167","the gift",2046,1,"sam raimi",111,1e+07,12008642,"2000-12-22","Q4",1,1,0,0,0,0.2008642,0
"168","carol",258480,1,"todd haynes",118,11800000,12711491,"2015-11-20","Q4",1,0,0,0,0,0.077245,0
"169","for your consideration",14799,3,"christopher guest",86,1.2e+07,5549923,"2006-11-22","Q4",1,0,0,0,1,-0.537506416666667,0
"170","peter pan",273106,3,"gary halvorson",104,4e+06,87400000,"2000-10-10","Q1",0,0,1,0,1,20.85,1
"171","code name the cleaner",14396,3,"les mayfield",84,2e+07,8135024,"2007-01-05","Q1",1,0,0,1,1,-0.5932488,0
"172","42",109410,2,"brian helgeland",128,3.1e+07,95020213,"2013-04-12","Q2",1,0,0,0,0,2.06516816129032,1
"173","get on up",239566,2,"tate taylor",139,3e+07,30569935,"2014-08-01","Q3",1,0,1,0,0,0.0189978333333333,0
"174","magic mike",77930,3,"steven soderbergh",110,7e+06,113721571,"2012-06-28","Q2",1,0,0,0,1,15.2459387142857,1
"175","bound",316410,3,"jared cohn",90,4500000,3802260,"2015-01-09","Q4",1,1,0,0,0,-0.155053333333333,0
"176","fist fight",345922,3,"richie keen",91,2.5e+07,32187017,"2017-02-16","Q1",0,0,0,0,1,0.28748068,0
"177","walking with dinosaurs",77951,3,"neil nightingale",87,8e+07,36076121,"2013-12-18","Q4",0,0,0,1,1,-0.5490484875,0
"178","trapped",9039,1,"luis mandoki",106,3e+07,6916869,"2002-09-20","Q3",1,1,0,1,0,-0.7694377,0
"179","atomic blonde",341013,1,"david leitch",115,3e+07,51573925,"2017-07-26","Q3",0,1,0,1,0,0.719130833333333,0
"180","swimming pool",302,3,"françois ozon",102,7800000,10130108,"2003-05-18","Q3",1,1,0,0,0,0.298731794871795,0
"181","mao s last dancer",33870,3,"bruce beresford",117,1.8e+07,4806750,"2009-10-01","Q3",1,0,0,0,0,-0.732958333333333,0
"182","redbelt",12400,2,"david mamet",99,7e+06,2344847,"2008-04-07","Q2",1,0,0,0,0,-0.665021857142857,0
"183","the 5th wave",299687,2,"j blakeson",112,3.8e+07,34912982,"2016-01-14","Q1",0,0,0,1,1,-0.0812373157894737,0
"184","sisters",52788,3,"douglas buck",92,3e+07,87044645,"2006-11-10","Q4",1,1,0,0,0,1.90148816666667,1
"185","dragonball evolution",14164,3,"james wong",85,3e+07,9362785,"2009-04-01","Q2",0,1,0,1,1,-0.687907166666667,0
"186","amigo",72913,3,"john sayles",128,1500000,184705,"2010-07-14","Q3",1,0,1,1,0,-0.876863333333333,0
"187","before we go",283350,3,"chris evans",89,3e+06,37151,"2014-09-11","Q3",1,0,0,0,1,-0.987616333333333,0
"188","tmnt",1273,3,"kevin munroe",90,3.5e+07,54149098,"2007-03-23","Q1",0,0,0,1,1,0.547117085714286,0
"189","snowpiercer",110415,3,"bong joon ho",126,4e+07,4563029,"2013-08-01","Q3",1,0,0,1,1,-0.885924275,0
"190","in the heart of the sea",205775,3,"ron howard",122,1e+08,25020758,"2015-11-20","Q4",1,1,1,1,1,-0.74979242,0
"191","blackhat",201088,3,"michael mann",133,7e+07,8005980,"2015-01-13","Q1",1,1,0,0,0,-0.885628857142857,0
"192","red dawn",60747,3,"dan bradley",93,6.5e+07,44806783,"2012-11-21","Q4",0,1,1,1,1,-0.310664876923077,0
"193","rollerball",11535,3,"john mctiernan",98,7e+07,18990542,"2002-02-08","Q1",0,1,0,1,1,-0.728706542857143,0
"194","vertical limit",11678,3,"martin campbell",124,7.5e+07,68473360,"2000-12-08","Q4",0,1,0,1,1,-0.0870218666666667,0
"195","jack ryan shadow recruit",137094,3,"kenneth branagh",105,6e+07,50577412,"2014-01-15","Q1",1,1,0,1,0,-0.157043133333333,0
"196","osmosis jones",12610,1,"bobby farrelly",95,7e+07,13596911,"2001-08-07","Q3",0,0,0,1,1,-0.805758414285714,0
"197","lilo stitch",11544,3,"dean deblois",85,8e+07,145771527,"2002-06-21","Q2",0,0,0,0,1,0.8221440875,0
"198","the big short",318846,1,"adam mckay",130,2.8e+07,70259870,"2015-12-11","Q4",1,0,0,0,1,1.50928107142857,1
"199","reign of fire",6278,1,"rob bowman",101,6e+07,43061982,"2002-07-12","Q1",0,0,0,1,1,-0.2823003,0
"200","alone in the dark",12142,1,"uwe boll",96,2e+07,5178569,"2005-01-28","Q1",0,1,0,1,1,-0.74107155,0
"201","lost river",167810,3,"ryan gosling",95,2e+06,45431,"2015-04-08","Q2",0,1,0,0,1,-0.9772845,0
