"","Name","Rank","FirstName","LastName"
"513","josephgordon-levitt",2,"Joseph","Gordon-Levitt"
"514","dakotajohnson",2,"Dakota","Johnson"
"515","tomhiddleston",2,"Tom","Hiddleston"
"516","tomhardy",2,"Tom","Hardy"
"517","jamiedornan",2,"Jamie","Dornan"
"518","idriselba",2,"Idris","Elba"
"519","emmyrossum",2,"Emmy","Rossum"
"520","sophieturner",2,"Sophie","Turner"
"521","oscarisaac",2,"Oscar","Isaac"
"522","dominiccooper",2,"Dominic","Cooper"
"523","judygreer",2,"Judy","Greer"
"524","oliviamunn",2,"Olivia","Munn"
"525","johncusack",2,"John","Cusack"
"526","lucyhale",2,"Lucy","Hale"
"527","ellenpage",2,"Ellen","Page"
"528","yarashahidi",2,"Yara","Shahidi"
"529","krystenritter",2,"Krysten","Ritter"
"530","kristenwiig",2,"Kristen","Wiig"
"531","kiernanshipka",2,"Kiernan","Shipka"
"532","domhnallgleeson",2,"Domhnall","Gleeson"
"533","jamiebell",2,"Jamie","Bell"
"534","davebautista",2,"Dave","Bautista"
"535","hughdancy",2,"Hugh","Dancy"
"536","michaeljai white",2,"Michael","Jai White"
"537","zacharyquinto",2,"Zachary","Quinto"
"538","ashleyjudd",2,"Ashley","Judd"
"539","jaimiealexander",2,"Jaimie","Alexander"
"540","verafarmiga",2,"Vera","Farmiga"
"541","shailenewoodley",2,"Shailene","Woodley"
"542","nastassjakinski",2,"Nastassja","Kinski"
"543","tylerhoechlin",2,"Tyler","Hoechlin"
"544","miawasikowska",2,"Mia","Wasikowska"
"545","daniellepanabaker",2,"Danielle","Panabaker"
"546","hayleyatwell",2,"Hayley","Atwell"
"547","aarontaylor-johnson",2,"Aaron","Taylor-Johnson"
"548","johnkrasinski",2,"John","Krasinski"
"549","mirandacosgrove",2,"Miranda","Cosgrove"
"550","malinakerman",2,"Malin","Akerman"
"551","sherilynfenn",2,"Sherilyn","Fenn"
"552","isabellucas",2,"Isabel","Lucas"
"553","pauldano",2,"Paul","Dano"
"554","alymichalka",2,"Aly","Michalka"
"555","mikecolter",2,"Mike","Colter"
"556","melissaleo",2,"Melissa","Leo"
"557","paulwesley",2,"Paul","Wesley"
"558","terrencehoward",2,"Terrence","Howard"
"559","jennifermorrison",2,"Jennifer","Morrison"
"560","rayliotta",2,"Ray","Liotta"
"561","lilyjames",2,"Lily","James"
"562","kristyswanson",2,"Kristy","Swanson"
"563","daisyridley",2,"Daisy","Ridley"
"564","ericbana",2,"Eric","Bana"
"565","nathanfillion",2,"Nathan","Fillion"
"566","mattdillon",2,"Matt","Dillon"
"567","grantgustin",2,"Grant","Gustin"
"568","crystalreed",2,"Crystal","Reed"
"569","johnrhys-davies",2,"John","Rhys-Davies"
"570","christopherlloyd",2,"Christopher","Lloyd"
"571","michaelironside",2,"Michael","Ironside"
"572","lindsaylohan",2,"Lindsay","Lohan"
"573","lancehenriksen",2,"Lance","Henriksen"
"574","robertenglund",2,"Robert","Englund"
"575","braddourif",2,"Brad","Dourif"
"576","niapeeples",2,"Nia","Peeples"
"577","gemmaarterton",2,"Gemma","Arterton"
"578","natashahenstridge",2,"Natasha","Henstridge"
"579","brendangleeson",2,"Brendan","Gleeson"
"580","giovanniribisi",2,"Giovanni","Ribisi"
"581","laurencefishburne",2,"Laurence","Fishburne"
"582","shialabeouf",2,"Shia","LaBeouf"
"583","candicepatton",2,"Candice","Patton"
"584","rosariodawson",2,"Rosario","Dawson"
"585","pamgrier",2,"Pam","Grier"
