"","X","original_title","id","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","success_1_to_1"
"113",1394,"recess school s out",19405,2001-01-27,"rickeydshoncollins","chucksheetz",0,0,83,1e+07,36696761,"Q1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"114",1475,"saving silverman",10878,2001-02-09,"jasonbiggs","dennisdugan",1,2,90,2.2e+07,19351569,"Q1",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
"115",2078,"the tailor of panama",2575,2001-02-11,"piercebrosnan","johnboorman",5,0,109,1.8e+07,13491653,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
"116",5,"15 minutes",2749,2001-03-01,"robertdeniro","johnherzfeld",3,1,120,4.2e+07,24375436,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"117",1564,"songcatcher",62677,2001-03-01,"47627","maggiegreenwald",0,0,109,1800000,3050934,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"118",1956,"the mexican",6073,2001-03-01,"bradpitt","goreverbinski",2,2,123,4e+07,66808615,"Q1",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"119",593,"exit wounds",10877,2001-03-13,"stevenseagal","andrzejbartkowiak",1,1,101,3.3e+07,51758599,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"120",569,"elling",6007,2001-03-16,"perchristianellefsen","petternæss",0,0,89,2100000,313436,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"121",1590,"spy kids",10054,2001-03-18,"alexapenavega","robertrodriguez",1,7,88,3.5e+07,112692062,"Q1",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"122",696,"gamer",82495,2001-03-21,"saïdtaghmaoui","patricklevis",0,0,102.936454849498,5e+07,20534907,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"123",1726,"the brothers",20322,2001-03-23,"morrischestnut","garyhardwick",1,0,106,6e+06,27457409,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"124",306,"brigham city",26791,2001-03-30,"richarddutcher","richarddutcher",0,0,119,1e+06,852206,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
"125",1562,"someone like you ",12658,2001-03-30,"ashleyjudd","tonygoldwyn",2,0,97,2.3e+07,27338033,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"126",2145,"tomcats",10646,2001-03-30,"jerryoconnell","gregorypoirier",0,0,95,1.1e+07,13558739,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"127",950,"josie and the pussycats",19366,2001-04-06,"rachaelleighcook","harryelfont",1,0,98,2.2e+07,14252830,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"128",964,"just visiting",56715,2001-04-06,"jeanreno","jeanmariepoiré",0,0,88,4e+07,4777007,"Q2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
