"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"86","all the pretty horses","21355",2000-12-11,"mattdamon",5,117,4.5e+07,15527125,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"1782","the family man","5994",2000-12-12,"nicolascage",8,125,6e+07,75764085,"Q4",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1154","miss congeniality","1493",2000-12-14,"sandrabullock",6,111,4.5e+07,106807667,"Q4",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"2269","what women want","3981",2000-12-15,"helenhunt",1,127,6.5e+07,182805123,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"747","gossip","228987",2000-12-24,"pernillaaugust",1,134,1.4e+07,5108820,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2158","traffic","1900",2000-12-27,"michaeldouglas",5,147,4.8e+07,124107476,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"786","harvard man","27451",2001-01-01,"sarahmichellegellar",2,99,5500000,56653,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"904","invincible","68569",2001-01-01,"timroth",2,90,4e+07,57806952,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2160","trance","188832",2001-01-01,"samcallis",1,100,1.6e+07,2322593,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2012","the pledge","5955",2001-01-09,"jacknicholson",8,123,4.5e+07,19719930,"Q1",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"133","antitrust","9989",2001-01-12,"ryanphillippe",1,108,3e+07,10965209,"Q1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"533","double take","18828",2001-01-12,"orlandojones",1,88,2.4e+07,29823162,"Q1",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1472","save the last dance","9816",2001-01-12,"juliastiles",2,112,1.3e+07,91038276,"Q1",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"528","donnie darko","141",2001-01-18,"jakegyllenhaal",2,113,4500000,1480006,"Q4",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"1642","super troopers","39939",2001-01-18,"jaychandrasekhar",1,100,1200000,18492362,"Q1",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"1728","the business of strangers","31064",2001-01-19,"juliastiles",2,84,6e+06,1030920,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1734","the caveman s valentine","25208",2001-01-19,"samuelljackson",4,105,13500000,687081,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"1760","the deep end","24936",2001-01-21,"tildaswinton",1,101,3e+06,8823109,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"1087","madison","38717",2001-01-23,"jimcaviezel",2,99,15500000,517262,"Q2",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1394","recess school s out","19405",2001-01-27,"rickeydshoncollins",1,83,1e+07,36696761,"Q1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1475","saving silverman","10878",2001-02-09,"jasonbiggs",2,90,2.2e+07,19351569,"Q1",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2078","the tailor of panama","2575",2001-02-11,"piercebrosnan",10,109,1.8e+07,13491653,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"5","15 minutes","2749",2001-03-01,"robertdeniro",12,120,4.2e+07,24375436,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"1564","songcatcher","62677",2001-03-01,"47627",1,109,1800000,3050934,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"1956","the mexican","6073",2001-03-01,"bradpitt",4,123,4e+07,66808615,"Q1",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"593","exit wounds","10877",2001-03-13,"stevenseagal",4,101,3.3e+07,51758599,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"569","elling","6007",2001-03-16,"perchristianellefsen",1,89,2100000,313436,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1590","spy kids","10054",2001-03-18,"alexapenavega",2,88,3.5e+07,112692062,"Q1",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"696","gamer","82495",2001-03-21,"saïdtaghmaoui",1,102.936454849498,5e+07,20534907,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"1726","the brothers","20322",2001-03-23,"<U+043C><U+043E><U+0440><U+0440><U+0438><U+0441><U+0447><U+0435><U+0441><U+0442><U+043D><U+0430><U+0442>",2,106,6e+06,27457409,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"306","brigham city","26791",2001-03-30,"richarddutcher",1,119,1e+06,852206,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
